10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425022|15|03-MAY-2024|03-MAY-2024 16:30|03-MAY-2024 22:00|03-MAY-2024|03-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425023|15|06-MAY-2024|06-MAY-2024 16:30|06-MAY-2024 22:00|06-MAY-2024|06-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425024|15|07-MAY-2024|07-MAY-2024 16:30|07-MAY-2024 22:00|07-MAY-2024|07-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425025|15|08-MAY-2024|08-MAY-2024 16:30|08-MAY-2024 22:00|08-MAY-2024|08-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425026|15|09-MAY-2024|09-MAY-2024 16:30|09-MAY-2024 22:00|09-MAY-2024|09-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425027|15|10-MAY-2024|10-MAY-2024 16:30|10-MAY-2024 22:00|10-MAY-2024|10-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425028|15|13-MAY-2024|13-MAY-2024 16:30|13-MAY-2024 22:00|13-MAY-2024|13-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425029|15|14-MAY-2024|14-MAY-2024 16:30|14-MAY-2024 22:00|14-MAY-2024|14-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425030|15|15-MAY-2024|15-MAY-2024 16:30|15-MAY-2024 22:00|15-MAY-2024|15-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425031|15|16-MAY-2024|16-MAY-2024 16:30|16-MAY-2024 22:00|16-MAY-2024|16-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425032|15|17-MAY-2024|17-MAY-2024 16:30|17-MAY-2024 22:00|17-MAY-2024|17-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425033|15|21-MAY-2024|21-MAY-2024 16:30|21-MAY-2024 22:00|21-MAY-2024|21-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425034|15|22-MAY-2024|22-MAY-2024 16:30|22-MAY-2024 22:00|22-MAY-2024|22-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425035|15|23-MAY-2024|23-MAY-2024 16:30|23-MAY-2024 22:00|23-MAY-2024|23-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425036|15|24-MAY-2024|24-MAY-2024 16:30|24-MAY-2024 22:00|24-MAY-2024|24-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425037|15|27-MAY-2024|27-MAY-2024 16:30|27-MAY-2024 22:00|27-MAY-2024|27-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425038|15|28-MAY-2024|28-MAY-2024 16:30|28-MAY-2024 22:00|28-MAY-2024|28-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425039|15|29-MAY-2024|29-MAY-2024 16:30|29-MAY-2024 22:00|29-MAY-2024|29-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425040|15|30-MAY-2024|30-MAY-2024 16:30|30-MAY-2024 22:00|30-MAY-2024|30-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110152425041|15|31-MAY-2024|31-MAY-2024 16:30|31-MAY-2024 22:00|31-MAY-2024|31-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110232425615|23|22-APR-2024|23-APR-2024 10:30|23-APR-2024 13:30|22-APR-2024|22-APR-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425015|27|23-APR-2024|23-APR-2024 16:30|23-APR-2024 18:30|23-APR-2024|23-APR-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425021|27|02-MAY-2024|02-MAY-2024 15:30|02-MAY-2024 18:30|02-MAY-2024|02-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425022|27|03-MAY-2024|03-MAY-2024 15:30|03-MAY-2024 18:30|03-MAY-2024|03-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425023|27|06-MAY-2024|06-MAY-2024 15:30|06-MAY-2024 18:30|06-MAY-2024|06-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425024|27|07-MAY-2024|07-MAY-2024 15:30|07-MAY-2024 18:30|07-MAY-2024|07-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425025|27|08-MAY-2024|08-MAY-2024 15:30|08-MAY-2024 18:30|08-MAY-2024|08-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425026|27|09-MAY-2024|09-MAY-2024 15:30|09-MAY-2024 18:30|09-MAY-2024|09-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425027|27|10-MAY-2024|10-MAY-2024 15:30|10-MAY-2024 18:30|10-MAY-2024|10-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425028|27|13-MAY-2024|13-MAY-2024 15:30|13-MAY-2024 18:30|13-MAY-2024|13-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425029|27|14-MAY-2024|14-MAY-2024 15:30|14-MAY-2024 18:30|14-MAY-2024|14-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425030|27|15-MAY-2024|15-MAY-2024 15:30|15-MAY-2024 18:30|15-MAY-2024|15-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425031|27|16-MAY-2024|16-MAY-2024 15:30|16-MAY-2024 18:30|16-MAY-2024|16-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425032|27|17-MAY-2024|17-MAY-2024 15:30|17-MAY-2024 18:30|17-MAY-2024|17-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425033|27|21-MAY-2024|21-MAY-2024 15:30|21-MAY-2024 18:30|21-MAY-2024|21-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425034|27|22-MAY-2024|22-MAY-2024 15:30|22-MAY-2024 18:30|22-MAY-2024|22-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425036|27|24-MAY-2024|24-MAY-2024 15:30|24-MAY-2024 18:30|24-MAY-2024|24-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425037|27|27-MAY-2024|27-MAY-2024 15:30|27-MAY-2024 18:30|27-MAY-2024|27-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425038|27|28-MAY-2024|28-MAY-2024 15:30|28-MAY-2024 18:30|28-MAY-2024|28-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425039|27|29-MAY-2024|29-MAY-2024 15:30|29-MAY-2024 18:30|29-MAY-2024|29-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425040|27|30-MAY-2024|30-MAY-2024 15:30|30-MAY-2024 18:30|30-MAY-2024|30-MAY-2024|0
10|INDIAN CLEARING CORPORATION LIMITED|11|BOMBAY STOCK EXCHANGE LIMITED|1110272425041|27|31-MAY-2024|31-MAY-2024 15:30|31-MAY-2024 18:30|31-MAY-2024|31-MAY-2024|0
11|NATIONAL SECURITIES CLEARING CORPORATION LTD.|12|NATIONAL STOCK EXCHANGE OF INDIA LIMITED|1211142024075|14|22-APR-2024|23-APR-2024 16:50|23-APR-2024 17:00|22-APR-2024|22-APR-2024|0
11|NATIONAL SECURITIES CLEARING CORPORATION LTD.|12|NATIONAL STOCK EXCHANGE OF INDIA LIMITED|1211142024575|14|22-APR-2024|23-APR-2024 16:15|23-APR-2024 16:30|22-APR-2024|22-APR-2024|0
11|NATIONAL SECURITIES CLEARING CORPORATION LTD.|12|NATIONAL STOCK EXCHANGE OF INDIA LIMITED|1211152024076|15|23-APR-2024|23-APR-2024 16:30|23-APR-2024 20:00|23-APR-2024|23-APR-2024|0
11|NATIONAL SECURITIES CLEARING CORPORATION LTD.|12|NATIONAL STOCK EXCHANGE OF INDIA LIMITED|1211232024076|23|23-APR-2024|24-APR-2024 10:30|24-APR-2024 12:30|23-APR-2024|23-APR-2024|0
34|THE CLEARING CORPORATION OF INDIA LTD.|35|RESERVE BANK OF INDIA|3534009999999|0|23-APR-2024|23-APR-2024 12:30|23-APR-2024 00:00|23-APR-2024|23-APR-2024|0
34|THE CLEARING CORPORATION OF INDIA LTD.|35|RESERVE BANK OF INDIA|3534019999999|1|23-APR-2024|23-APR-2024 12:30|23-APR-2024 00:00|23-APR-2024|23-APR-2024|0
