CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d)
C51564,90179,3100800,3063174,718212.45,0,3017113.33,0
C51564,90179,3100845,0,614024.81,0,0,0
C51564,90179,3100879,435376.85,2040181.59,0,1019338.68,0
C51564,90179,3100932,11283210.89,0,0,12497818.96,0
C51564,90179,3100555,0,5731795.25,0,2637918.3,0
C51564,90179,3100556,0,847345.55,0,3737730.96,0
C51564,90179,3100599,1064296.45,248882.69,0,2227437.26,0
C51564,90179,3100452,8271879,129014.71,0,10979845.13,0
C51564,90179,3100862,435376.85,2974228.71,0,0,0
C51564,90179,3100494,1721480.08,478040.91,0,8733633.09,0
C51564,90179,4100039,0,0,0,1131973.92,0
C51564,90179,3100501,6081734.04,171105.51,0,6383533.94,0
C51564,90179,3100040,678188.8,193197.37,0,1440691.2,0
C51564,90179,4200114,0,0,0,1041629.58,0
C51564,90179,3100445,12169102.28,137911.08,0,12855187.54,0
